Designator,Footprint,Quantity,Value,LCSC Part #
A101,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
C101,C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal,1,0.1u,
D101,LED_D5.0mm,1,Power,
J101,PinHeader_1x02_P2.54mm_Vertical,1,OUT_EX,
J102,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery,
J103,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,ch2,
J104,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,ch1,
J105,PinHeader_1x02_P2.54mm_Vertical,1,Power_EX,
"R101, R102, R103, R104",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10k,
R105,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
"RV101, RV102",Potentiometer_Bourns_3296P_Horizontal,2,R_Potentiometer,
SW101,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_SPST,
U101,CERDIP-8_W7.62mm_SideBrazed,1,LM393N,
